Current Offset,Sample Number,Title,Trigger Offset,Time End,Time Start,U Sec,Time Of Threshold
9394,16384,wf_1797,10592,1662555486.965375,1662555486.9652438,965243,728
7204,16384,wf_1798,8402,1662555486.9826205,1662555486.9824893,982489,560
8703,16384,wf_1799,9901,1662555486.9874558,1662555486.9873247,987324,520
6942,16384,wf_1800,8140,1662555486.9957466,1662555486.9956155,995615,808
5830,16384,wf_1801,7028,1662555487.0308414,1662555487.0307102,30710,816
9208,16384,wf_1802,10406,1662555487.036824,1662555487.0366929,36692,1184
4466,16384,wf_1803,5664,1662555487.043806,1662555487.043675,43675,576
7286,16384,wf_1804,8484,1662555487.0526128,1662555487.0524817,52481,808
11550,16384,wf_1805,12748,1662555487.0632873,1662555487.0631561,63156,576
10592,16384,wf_1806,11790,1662555487.0684724,1662555487.0683413,68341,1224
2250,16384,wf_1807,3448,1662555487.0804546,1662555487.0803235,80323,832
10854,16384,wf_1808,12052,1662555487.0883355,1662555487.0882044,88204,904
8343,16384,wf_1809,9541,1662555487.1064904,1662555487.1063592,106359,528
9807,16384,wf_1810,11005,1662555487.1122985,1662555487.1121674,112167,624
6447,16384,wf_1811,7645,1662555487.1177762,1662555487.117645,117645,488
14466,16384,wf_1812,15664,1662555487.121967,1662555487.121836,121835,1000
4124,16384,wf_1813,5322,1662555487.1403115,1662555487.1401803,140180,592
12313,16384,wf_1814,13511,1662555487.1464539,1662555487.1463227,146322,440
2406,16384,wf_1815,3604,1662555487.1521165,1662555487.1519854,151985,792
6476,16384,wf_1816,7674,1662555487.1581016,1662555487.1579704,157970,976
16262,16384,wf_1817,1076,1662555487.1750193,1662555487.1748881,174888,616
11391,16384,wf_1818,12589,1662555487.181623,1662555487.1814919,181491,888
13408,16384,wf_1819,14606,1662555487.1877651,1662555487.187634,187633,728
6154,16384,wf_1820,7352,1662555487.207984,1662555487.2078528,207852,712
4047,16384,wf_1821,5245,1662555487.2131855,1662555487.2130544,213054,680
2025,16384,wf_1822,3223,1662555487.2205787,1662555487.2204475,220447,1400
5058,16384,wf_1823,6256,1662555487.2243602,1662555487.224229,224229,520
2066,16384,wf_1824,3264,1662555487.2393756,1662555487.2392445,239244,1112
8074,16384,wf_1825,9272,1662555487.246992,1662555487.246861,246860,856
839,16384,wf_1826,2037,1662555487.2509723,1662555487.2508411,250841,760
13722,16384,wf_1827,14920,1662555487.2772498,1662555487.2771187,277118,872
