Max,Time,Integral,Time Of Threshold,INTNS
[40.28812111],1662555467.7307725,[5196.19094128],472,[5196.19094128]
[66.65852765],1662555467.7346857,[6338.42021731],552,[6338.42021731]
[157.61201319],1662555467.7879107,[11022.70785008],888,[11022.70785008]
[78.13453791],1662555467.7967498,[7155.29239409],688,[7155.29239409]
[49.6886827],1662555467.8081193,[5888.90245391],616,[5888.90245391]
[40.28812111],1662555467.8247707,[5240.14161885],528,[5240.14161885]
[41.14271762],1662555467.831937,[5333.41472348],552,[5333.41472348]
[43.21816628],1662555467.8441691,[5404.83457453],544,[5404.83457453]
[57.25796606],1662555467.8474402,[6145.03723599],640,[6145.03723599]
[1000.12208522],1662555467.8687153,[93578.19558051],3432,[93578.19558051]
[54.08375046],1662555467.895684,[5690.51397876],552,[5690.51397876]
[43.70650714],1662555467.910857,[5124.16066414],440,[5124.16066414]
[37.11390551],1662555467.9343603,[4835.1849591],432,[4835.1849591]
[45.04944451],1662555467.9441252,[5495.54388963],528,[5495.54388963]
[102.67366622],1662555467.9537508,[8608.35062874],816,[8608.35062874]
[89.1222073],1662555467.9876223,[7765.23013063],760,[7765.23013063]
[94.00561592],1662555467.9948783,[8037.8464168],736,[8037.8464168]
[40.53229154],1662555468.0092309,[5211.81784886],520,[5211.81784886]
[71.7861067],1662555468.0408213,[6759.00378464],632,[6759.00378464]
[58.72298865],1662555468.0526762,[6509.70577463],680,[6509.70577463]
[46.75863753],1662555468.069,[5496.64265657],568,[5496.64265657]
[48.83408619],1662555468.0854163,[5728.60456599],592,[5728.60456599]
[66.53644244],1662555468.0929146,[6636.06397265],640,[6636.06397265]
[1000.12208522],1662555468.1047285,[99801.48943962],3520,[99801.48943962]
[74.22781101],1662555468.1082165,[6766.69515322],656,[6766.69515322]
[110.60920523],1662555468.1294427,[9117.69014772],856,[9117.69014772]
[50.90953486],1662555468.1352677,[5963.13026492],624,[5963.13026492]
[192.4062996],1662555468.1624808,[13584.78818215],1072,[13584.78818215]
[164.57087047],1662555468.1702507,[11838.48125992],992,[11838.48125992]
[73.3732145],1662555468.180953,[6774.87486265],656,[6774.87486265]
[47.61323404],1662555468.192568,[5390.06226346],496,[5390.06226346]
[37.8464168],1662555468.2014222,[5000.85459651],456,[5000.85459651]
[44.43901843],1662555468.2291853,[5348.18703455],520,[5348.18703455]
[46.5144671],1662555468.2524858,[5493.10218533],560,[5493.10218533]
[44.31693322],1662555468.2572331,[5331.46136003],520,[5331.46136003]
[181.29654499],1662555468.2734728,[12463.55756318],1008,[12463.55756318]
[57.86839214],1662555468.28015,[6101.45281406],608,[6101.45281406]
